timestamp,cadence
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
39.0625,4.61
42.1494140625,58.31
45.2451171875,58.15
49.2607421875,59.77
51.158203125,63.24
60.255859375,72.55
0.3017578125,
5.78125,76.65
8.908203125,76.75
12.04296875,76.56
15.05859375,79.59
21.0048828125,80.72
24.0107421875,79.84
24.7626953125,79.79
27.916015625,76.11
29.517578125,74.93
31.05859375,77.87
34.1318359375,78.09
36.3818359375,80.0
39.404296875,79.41
42.419921875,79.59
45.5068359375,77.75
48.52734375,79.46
54.408203125,81.62
57.271484375,83.82
58.716796875,83.03
61.6455078125,81.95
63.10546875,82.19
0.5703125,
3.2587890625,89.27
6.63671875,88.81
6.63671875,
9.392578125,87.09
12.177734375,86.17
15.02734375,84.22
18.5712890625,84.65
22.1640625,83.5
24.3330078125,82.99
27.1650390625,84.74
27.8662109375,85.57
31.3642578125,85.76
33.451171875,86.25
34.177734375,82.58
36.9873046875,85.42
39.8759765625,83.08
39.8759765625,
42.685546875,85.42
46.2490234375,84.19
49.11328125,83.79
51.9521484375,84.54
56.08984375,87.0
57.490234375,85.69
61.677734375,85.97
0.5068359375,
2.607421875,85.69
4.0419921875,83.65
6.9482421875,82.58
9.837890625,83.06
12.6796875,84.45
15.58203125,82.69
18.46484375,83.25
21.337890625,83.54
25.2900390625,91.09
27.259765625,91.38
31.234375,90.57
34.4873046875,92.22
36.5068359375,89.13
37.1630859375,91.43
40.54296875,88.76
46.0009765625,87.94
48.7412109375,87.58
52.1826171875,87.17
54.96484375,86.26
59.1962890625,85.08
61.306640625,85.29
0.15234375,
3.7626953125,83.09
5.8662109375,85.57
7.2724609375,85.33
10.1328125,83.91
12.9755859375,84.42
15.828125,84.14
18.65234375,84.98
21.4794921875,84.89
25.03515625,84.37
27.87109375,84.63
28.5751953125,85.21
30.701171875,84.67
33.466796875,86.78
34.857421875,86.29
37.63671875,86.35
39.71875,86.45
40.40625,87.27
43.9189453125,85.4
46.6455078125,88.02
49.408203125,86.87
52.2158203125,85.48
55.7626953125,84.58
58.5126953125,87.27
61.26953125,87.06
0.0791015625,
7.1357421875,85.03
9.220703125,86.33
9.9111328125,86.9
13.4775390625,84.12
16.33984375,83.85
19.1943359375,84.08
22.001953125,85.48
24.7939453125,85.96
28.1708984375,88.84
31.642578125,86.41
33.7470703125,85.53
37.208984375,86.66
37.8662109375,91.29
40.654296875,86.08
42.765625,85.25
49.7529296875,85.87
52.6220703125,83.65
55.404296875,86.26
58.9638671875,84.28
61.7626953125,85.75
0.541015625,
1.9267578125,86.6
