timestamp,heart_rate
1705618067.439325,68
1705618070.641086,69
1705618073.84254,72
1705618077.044081,82
1705618080.2457,90
1705618083.447226,97
1705618086.648808,104
1705618089.84959,109
1705618096.253338,117
1705618099.45511,118
1705618102.656613,117
1705618105.366373,118
1705618105.858148,118
1705618108.56793,118
1705618109.05973,118
1705618111.769444,118
1705618112.261329,118
1705618114.971036,117
1705618115.46275,117
1705618118.172621,117
1705618118.664483,117
1705618121.374177,116
1705618121.866,115
1705618124.575802,115
1705618125.067245,116
1705618127.777264,117
1705618128.268751,118
1705618130.978911,118
1705618131.470466,118
1705618134.180428,117
1705618134.672308,117
1705618137.391062,117
1705618137.873876,118
1705618140.584109,118
1705618141.075503,118
1705618143.785154,117
1705618146.986734,118
1705618150.187489,118
1705618153.389396,119
1705618156.590561,120
1705618159.792658,119
1705618162.99426,116
1705618169.397304,113
1705618172.598735,113
1705618175.800569,116
1705618179.001692,115
1705618182.20375,116
1705618185.405444,118
1705618188.607221,118
1705618191.808491,117
1705618192.300375,117
1705618195.50125,118
1705618198.703643,118
1705618199.195181,118
1705618202.396351,116
1705618206.089772,115
1705618209.29169,115
1705618209.783572,115
1705618212.985206,115
1705618216.18683,115
1705618216.678381,115
1705618219.879696,114
1705618223.08902,114
1705618225.791019,114
1705618226.30254,114
1705618228.992912,114
1705618229.484646,114
1705618232.194258,115
1705618232.686441,115
1705618235.395956,119
1705618235.887981,119
1705618238.597715,120
1705618239.089439,120
1705618241.799117,119
1705618242.290941,119
1705618245.000704,119
1705618245.492514,119
1705618248.202335,118
1705618248.694039,118
1705618251.40397,117
1705618251.89544,117
1705618254.605737,118
1705618255.098288,118
1705618257.806857,119
1705618258.298878,119
1705618261.008515,120
1705618264.210045,120
1705618267.411271,120
1705618270.612602,120
1705618273.81477,119
1705618277.016478,119
1705618283.419607,122
1705618286.621107,121
1705618293.02411,120
1705618296.225752,120
1705618299.427582,122
1705618305.829672,123
1705618309.041086,122
1705618312.233646,122
1705618315.434474,121
1705618318.636722,121
1705618321.838119,120
1705618328.241336,122
1705618331.442846,121
1705618334.643838,122
1705618337.845923,122
1705618341.047493,123
1705618343.757336,124
1705618344.249296,124
1705618346.958868,124
1705618347.450787,125
1705618350.160617,126
1705618350.652443,126
1705618353.362164,127
1705618353.853729,127
1705618356.563637,126
1705618357.055361,126
1705618359.765248,125
1705618360.256951,125
1705618362.966908,124
1705618363.458021,124
1705618366.168347,125
1705618366.659864,125
1705618369.369982,126
1705618369.861242,126
1705618372.571368,125
1705618373.06334,125
1705618375.773025,125
1705618376.264875,125
1705618378.974508,125
1705618379.466643,125
1705618382.176161,125
1705618385.37745,125
1705618388.578495,125
1705618391.780751,126
1705618394.98235,127
1705618398.184067,126
1705618398.675646,126
1705618401.877246,126
1705618405.078962,127
1705618408.280543,127
1705618411.482146,126
1705618417.88514,129
1705618421.086602,131
1705618424.288183,130
1705618427.489736,129
1705618430.691317,129
1705618433.892708,128
1705618437.094559,128
1705618440.296225,129
1705618443.497673,128
1705618446.699268,129
1705618449.900161,131
1705618453.10287,136
1705618456.323952,138
1705618459.013773,137
1705618462.706959,134
1705618465.908596,133
1705618469.110107,134
1705618472.311312,133
1705618475.513343,133
1705618478.714964,134
1705618481.916566,135
1705618485.609314,133
1705618488.319528,133
1705618488.811447,133
1705618491.521056,133
1705618492.012936,133
1705618494.722627,133
1705618495.214575,133
1705618497.924247,134
1705618498.416151,135
1705618501.125536,136
1705618504.819144,137
1705618507.528926,135
1705618508.020534,134
1705618510.730592,133
1705618511.221645,133
1705618513.932134,133
1705618517.133681,132
1705618520.335178,132
1705618524.028581,131
1705618527.230143,130
1705618530.431784,131
1705618533.633331,131
1705618536.834878,132
1705618540.036304,132
1705618543.237983,131
1705618549.641125,134
1705618552.842633,134
1705618556.044283,133
1705618559.245839,133
1705618562.447431,132
1705618565.649006,132
1705618568.850459,132
1705618572.051837,132
1705618575.253512,132
1705618578.455128,134
1705618581.165013,134
1705618581.685832,134
1705618584.366566,135
1705618584.858369,135
1705618587.567924,135
1705618588.059878,135
1705618590.769519,135
1705618593.971343,137
1705618594.463067,138
1705618597.172634,139
1705618597.664577,139
1705618600.374036,140
1705618600.872489,140
1705618603.575983,140
1705618604.089618,140
1705618606.7774,138
1705618607.269217,137
